TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_LENGTH
AOMS_CONSTTYPE_MAS,NUM_CONSTTYPE_ABMCONSTTYPEID,NUMBER,22
AOMS_CONSTTYPE_MAS,NUM_CONSTTYPE_ID,NUMBER,22
AOMS_CONSTTYPE_MAS,VAR_CONSTTYPE_NAME,VARCHAR2,200
AOMS_CONSTTYPE_MAS,DAT_CONSTTYPE_INSDT,DATE,7
AOMS_CONSTTYPE_MAS,VAR_CONSTTYPE_INSBY,VARCHAR2,50
AOMS_CONSTTYPE_MAS,DAT_CONSTTYPE_UPDT,DATE,7
AOMS_CONSTTYPE_MAS,VAR_CONSTTYPE_UPDBY,VARCHAR2,50
AOMS_BANK_MAS,VAR_BANK_INSBY,VARCHAR2,50
AOMS_BANK_MAS,DAT_BANK_UPDT,DATE,7
AOMS_BANK_MAS,VAR_BANK_UPDBY,VARCHAR2,50
AOMS_BANK_MAS,NUM_BANK_ID,NUMBER,22
AOMS_BANK_MAS,NUM_BANK_ULBID,NUMBER,22
AOMS_BANK_MAS,VAR_BANK_NAME,VARCHAR2,500
AOMS_BANK_MAS,DAT_BANK_INSDT,DATE,7
AOMS_PROPSTATUS_MAS,VAR_PROPSTATUS_INSBY,VARCHAR2,50
AOMS_PROPSTATUS_MAS,DAT_PROPSTATUS_UPDT,DATE,7
AOMS_PROPSTATUS_MAS,VAR_PROPSTATUS_UPDBY,VARCHAR2,50
AOMS_PROPSTATUS_MAS,NUM_PROPSTATUS_ID,NUMBER,22
AOMS_PROPSTATUS_MAS,NUM_PROPSTATUS_ULBID,NUMBER,22
AOMS_PROPSTATUS_MAS,VAR_PROPSTATUS_NAME,VARCHAR2,100
AOMS_PROPSTATUS_MAS,DAT_PROPSTATUS_INSDT,DATE,7
AOMS_PROPERTYTYPE_MAS,NUM_PROPERTYTYPE_ID,NUMBER,22
AOMS_PROPERTYTYPE_MAS,NUM_PROPERTYTYPE_ULBID,NUMBER,22
AOMS_PROPERTYTYPE_MAS,VAR_PROPERTYTYPE_NAME,VARCHAR2,100
AOMS_PROPERTYTYPE_MAS,DAT_PROPERTYTYPE_INSDT,DATE,7
AOMS_PROPERTYTYPE_MAS,VAR_PROPERTYTYPE_INSBY,VARCHAR2,50
AOMS_PROPERTYTYPE_MAS,DAT_PROPERTYTYPE_UPDT,DATE,7
AOMS_PROPERTYTYPE_MAS,VAR_PROPERTYTYPE_UPDBY,VARCHAR2,50
AOMS_RECMODE_MAS,VAR_RECMODE_PAYCODE,VARCHAR2,3
AOMS_RECMODE_MAS,NUM_RECMODE_ID,NUMBER,22
AOMS_RECMODE_MAS,VAR_RECMODE_NAME,VARCHAR2,100
AOMS_RECMODE_MAS,DAT_RECMODE_INSDT,DATE,7
AOMS_RECMODE_MAS,VAR_RECMODE_INSBY,VARCHAR2,50
AOMS_RECMODE_MAS,DAT_RECMODE_UPDT,DATE,7
AOMS_RECMODE_MAS,VAR_RECMODE_UPDBY,VARCHAR2,50
AOMS_RECMODECONFIG_MAS,VAR_RECMODEECONFIG_DISPLAYFLAG,VARCHAR2,2
AOMS_RECMODECONFIG_MAS,NUM_RECMODECONFIG_ID,NUMBER,22
AOMS_RECMODECONFIG_MAS,NUM_RECMODECONFIG_RECMODEID,NUMBER,22
AOMS_RECMODECONFIG_MAS,NUM_RECMODEECONFIG_ULBID,NUMBER,22
AOMS_RECMODECONFIG_MAS,VAR_RECMODEECONFIG_ACTIVEFLAG,VARCHAR2,1
AOMS_RECMODECONFIG_MAS,DAT_RECMODEECONFIG_INSDT,DATE,7
AOMS_RECMODECONFIG_MAS,VAR_RECMODEECONFIG_INSBY,VARCHAR2,50
AOMS_RECMODECONFIG_MAS,DAT_RECMODEECONFIG_UPDT,DATE,7
AOMS_RECMODECONFIG_MAS,VAR_RECMODEECONFIG_UPDBY,VARCHAR2,50
AOMS_WARD_MAS,NUM_WARD_ABMWARDID,NUMBER,22
AOMS_WARD_MAS,NUM_WARD_ORDERBY,NUMBER,22
AOMS_WARD_MAS,NUM_WARD_ID,NUMBER,22
AOMS_WARD_MAS,VAR_WARD_NAME,VARCHAR2,100
AOMS_WARD_MAS,NUM_WARD_ULBID,NUMBER,22
AOMS_WARD_MAS,VAR_WARD_CODE,CHAR,3
AOMS_WARD_MAS,VAR_WARD_ACTIVEFLAG,CHAR,1
AOMS_WARD_MAS,DAT_WARD_INSDT,DATE,7
AOMS_WARD_MAS,VAR_WARD_INSBY,VARCHAR2,50
AOMS_WARD_MAS,DAT_WARD_UPDT,DATE,7
AOMS_WARD_MAS,VAR_WARD_UPDBY,VARCHAR2,50
AOMS_ROLE_MAS,NUM_ROLE_ID,NUMBER,22
AOMS_ROLE_MAS,VAR_ROLE_NAME,VARCHAR2,100
AOMS_ROLE_MAS,DAT_ROLE_INSDT,DATE,7
AOMS_ROLE_MAS,VAR_ROLE_INSBY,VARCHAR2,50
AOMS_ROLE_MAS,DAT_ROLE_UPDT,DATE,7
AOMS_ROLE_MAS,VAR_ROLE_UPDBY,VARCHAR2,50
AOMS_WARD_MAS_LOG,NUM_WARD_ID,NUMBER,22
AOMS_WARD_MAS_LOG,VAR_WARD_NAME,VARCHAR2,100
AOMS_WARD_MAS_LOG,NUM_WARD_ULBID,NUMBER,22
AOMS_WARD_MAS_LOG,VAR_WARD_CODE,CHAR,3
AOMS_WARD_MAS_LOG,VAR_WARD_ACTIVEFLAG,CHAR,1
AOMS_WARD_MAS_LOG,DAT_WARD_INSDT,DATE,7
AOMS_WARD_MAS_LOG,VAR_WARD_INSBY,VARCHAR2,50
AOMS_WARD_MAS_LOG,DAT_WARD_UPDT,DATE,7
AOMS_WARD_MAS_LOG,VAR_WARD_UPDBY,VARCHAR2,50
AOMS_ZONE_MAS,NUM_ZONE_ORDERBY,NUMBER,22
AOMS_ZONE_MAS,NUM_ZONE_ID,NUMBER,22
AOMS_ZONE_MAS,VAR_ZONE_NAME,VARCHAR2,100
