date,ward,zone,subzone,occupancy,main_category,sub_category,tax_code,floor,building_type,fsi_factor,fsi,sddr_rate,age_of_building,metered_unmetered,carpet_area,capital_value,total_tax
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Golf course LND 12,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Golf course LND 12,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (a) Land used for movement and parking of air craft including runway and taxing bay LND 13,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (a) Land used for movement and parking of air craft including runway and taxing bay LND 13,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land - residential LND 01,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land - residential LND 01,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of open air theatre LND 17,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of open air theatre LND 17,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (a) Land occupied by racing track LND 10,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (a) Land occupied by racing track LND 10,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open air electric sub-station LND 06,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open air electric sub-station LND 06,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land of rehabilitation units available under various redevelopment projects approved by State Govt/ MHADA/MMRDA/ MCGM LND 31,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land of rehabilitation units available under various redevelopment projects approved by State Govt/ MHADA/MMRDA/ MCGM LND 31,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (b) Total impermissiblity LND 05,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (b) Total impermissiblity LND 05,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (b) Any land other than the land covered by entry (a) LND 14,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (b) Any land other than the land covered by entry (a) LND 14,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Salt pan LND 07,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Salt pan LND 07,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (b) Land other than the land of racing track LND 11,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (b) Land other than the land of racing track LND 11,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where tickets are sold for entry LND 16,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where tickets are sold for entry LND 16,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around weigh bridge LND 09,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around weigh bridge LND 09,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
